school_name,school_number,grade_low,grade_high,enrollment,school_full_address,school_website,school_accreditations,district_number,best_lat,best_lng
"Abiding Word Lutheran School","'101220001","Pre-K",8,93,"17123 Red Oak Drive, Houston, TX 77090","https://awlcs.org/","ACTS : 2024","'101919",30.01892456,-95.44557568
"Abilene Christian School","'221120101","Kindergarten",12,408,"2550 N Judge Ely Blvd, Abilene, TX 79601","www.abilenechristian.com","NCSA : 1951 | COGNIA : 2005","'221901",32.47972443,-99.70955779
"Abilene Christian Secondary School","'221120001","Pre-K",12,0,"2550 N Judge Ely BLVD, Abilene, TX 79601","www.abilenechristian.com","NCSA : 2008","'221901",32.47972443,-99.70955779
"Abilene Classical Academy","'221400001","Pre-K",8,123,"1425 South 7th Street, Abilene, TX 79606","https://www.abileneclassical.com/","COGNIA : 2025","'221901",32.44206798,-99.73969802
"Abundant Life Christian School","'084121101","Pre-K",12,147,"5130 Hallam Road, La Marque, TX 77568","www.alcc.org","ICAA : 2015","'084906",29.3736802,-94.996923
"ACE Academy","'227105001","Pre-K",12,80,"5206 Balcones Dr, Austin, TX 78731","www.austingifted.org","COGNIA : 2012","'227901",30.33451495,-97.75981253
"Adult & Teen Challenge of Texas THRIVE Girls Academy - Montgomery (Digital Learning)",'170270001,6,12,15,"14699 Steede Lane, Montgomey, TX 77356","https://www.thrivegirlsacademy.org/","COGNIA : 2023","'170903",30.46448516,-95.77215835
"Adult&Teen Challenge of Texas THRIVE Girls Academy","'246520001",6,12,14,"20 Tate Lane, Building 130, Round Rock, TX 78665","https://www.thrivegirlsacademy.org/","COGNIA : 2022","'246909",30.55541699,-97.624868
"Advent Ridge Academy","'105179101","Pre-K",10,50,"1523 Old Ranch RD 12, San Marcos, TX 78666","www.adventridge.org","TSDA : 1979","'105902",29.89351914,-97.96022576
"AESA Prep Academy","'227109001","Kindergarten",12,100,"13730 W Highway 290, Austin, TX 78737-9170","www.aesaprepacademy.org","COGNIA : 2011","'227901",30.19862414,-98.00527723
"AESA Prep Academy at Giammalva","'101305001",8,12,6,"16400 Sir William Drive, Spring, TX 77379","","COGNIA : 2023","'101919",30.01988299,-95.51346298
"AESA Prep at Newk's Tennis Academy","'046300001",8,12,3,"325 Mission Valley Rd, New Braunfels, TX 78132","https://www.aesaprepacademy.com/","COGNIA : 2022","'046901",29.725422,-98.19157392
"AESA Prep International (Digital Learning)",'105300001,9,12,3,"13730 W Highway 290, Austin, TX 78737","http://aesaprepinternational.com/","COGNIA : 2016","'227901",30.19862414,-98.00527723
"AHB Community School","'227360001","Kindergarten",8,95,"1509 Dartmouth Ave., Austin, TX 78757","www.ahbcs.org","TAAPS : 2022","'227901",30.34838038,-97.72377848
"Akiba Yavneh Academy of Dallas","'057187101","Pre-K",12,425,"12324 Merit Drive, Dallas, TX 75251","www.akibaacademy.org","COGNIA : 1992 | TAAPS : 1998","'057905",32.91536417,-96.7708368
"Al-Hadi School of Accelerated Learning","'101268101","Pre-K",12,319,"14855 Richmond Ave., Houston, TX 77082","www.alhadi.com","COGNIA : 2001","'101903",29.72923882,-95.65250803
"Alatfal Foundation - NAML Academy","'084310001","Pre-K",5,50,"2160 S Edmonds Lane, Lewisville, TX 75067","https://www.namlacademy.com/","COGNIA : 2025","'061902",33.00603897,-97.00740931
"Alcuin School","'057203101","Pre-K",12,530,"6144 Churchill Way, Dallas, TX 75230","www.alcuinschool.org","ISAS : 1999 | ISAS : 2009 | ISAS : 2019","'057905",32.91596641,-96.79973702
